title,price,product_url,image_url,crawl_time,original_price,discount,rating,review_count,sales_tag
"SHEIN Holidaya Women's New Spring/Summer Holiday Retro Boho Casual Comfortable Loose Batwing Sleeve Embroidered Contrast Color V-Neck 3/4 Sleeve Blouse, Suitable For Spring/Summer Wear, Casual Shirt, Contrast Color Embroidered Shirt, Summer Top, Suitable For Wear, Daily Casual, Fashion Versatile Casual Beach Vacation Sunbathing Summer New Arrival Black And Beige",S$11.99,https://sg.shein.com/SHEIN-Holidaya-Women-s-New-Spring-Summer-Holiday-Retro-Boho-Casual-Comfortable-Loose-Batwing-Sleeve-Embroidered-Contrast-Color-V-Neck-3-4-Sleeve-Blouse-Suitable-For-Spring-Summer-Wear-Casual-Shirt-Contrast-Color-Embroidered-Shirt-Summer-Top-Suitable-For-Wear-Daily-Casual-Fashion-Versatile-Casual-Beach-Vacation-Sunbathing-Summer-New-Arrival-Black-And-Beige-p-439266548.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_439266548%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/09/97/1775707301409695d06a0b9ea0420d748e1e5f5482_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,-4%,,,
EMERY ROSE 2 In 1 Wine Red Women Short Sleeve T-Shirt,S$7.99,https://sg.shein.com/EMERY-ROSE-2-In-1-Wine-Red-Women-Short-Sleeve-T-Shirt-p-435663727.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_435663727%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/03/95/177520570563c5804eb99b5b3e7513dd6369f89e57_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,
"Women's Loose White Woven Fabric Drop Shoulder Short Sleeve Top, Perfect For Summer Bohemian Style.",S$8.99,https://sg.shein.com/Women-s-Loose-White-Woven-Fabric-Drop-Shoulder-Short-Sleeve-Top-Perfect-For-Summer-Bohemian-Style-p-466828613.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_466828613%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/06/35/17780693866d1757e95e9e5feefa9aeb58aa12712d_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,
"Sweet & Spicy Style Sakura Pink Ombre Short Sleeve T-Shirt, Korean Loose Letter Print Tee, Ins Aesthetic Casual Summer",S$4.46,https://sg.shein.com/Sweet-Spicy-Style-Sakura-Pink-Ombre-Short-Sleeve-T-Shirt-Korean-Loose-Letter-Print-Tee-Ins-Aesthetic-Casual-Summer-p-454654532.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_454654532%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/16/0b/1776328492652831292d680e08cd63a66a404dff81_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,Save S$4.46
"Qadelle Women's Casual Color Block Round Neck Short Sleeve T-Shirt, Summer",S$7.49,https://sg.shein.com/Qadelle-Women-s-Casual-Color-Block-Round-Neck-Short-Sleeve-T-Shirt-Summer-p-434491951.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_434491951%7C0-2,https://img.ltwebstatic.com/v4/j/pi/2026/04/01/21/17750295467c5dae92c66a4f0673c01dae6a933966_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,70+ sold
"Nylon Jacket With Long Sleeves, Hood And Bow Decor",S$26.99,https://sg.shein.com/Nylon-Jacket-With-Long-Sleeves-Hood-And-Bow-Decor-p-459676916.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_459676916%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/05/26/d6/1779776444290329a1fa0cd3d36f3afbd7415d6cd4_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,-11%,,,
"Summer New Japanese Chic Gray Asymmetrical Shoulder T-Shirt Women, Side Cinched Waist Slim Fit Asymmetrical Shoulder Short Sleeve Top Casual",S$0.75,https://sg.shein.com/Summer-New-Japanese-Chic-Gray-Asymmetrical-Shoulder-T-Shirt-Women-Side-Cinched-Waist-Slim-Fit-Asymmetrical-Shoulder-Short-Sleeve-Top-Casual-p-453022997.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_453022997%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/04/12/39/17760083953d27458d847210ce18828576150cd7d7_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,Save S$0.75
"Delicate Japanese Style White Asymmetrical Shoulder Star & Letter Print Short Sleeve T-Shirt, Pleated Slimming Top For Women; Korean Loose Fit Asymmetrical Shoulder Star Print T-Shirt, Versatile Layering Tee For Spring/Autumn, Indie Aesthetic Casual Summer",S$5.99,https://sg.shein.com/Delicate-Japanese-Style-White-Asymmetrical-Shoulder-Star-Letter-Print-Short-Sleeve-T-Shirt-Pleated-Slimming-Top-For-Women-Korean-Loose-Fit-Asymmetrical-Shoulder-Star-Print-T-Shirt-Versatile-Layering-Tee-For-Spring-Autumn-Indie-Aesthetic-Casual-Summer-p-435480727.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_435480727%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/03/21/08/17740980859d58b28d44856ec40a10a16c75779edd_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,90+ sold
"White English Print Short Sleeve Mid-Length T-Shirt For Women, Stylish & Graphic Printing Casual Summer",S$5.81,https://sg.shein.com/White-English-Print-Short-Sleeve-Mid-Length-T-Shirt-For-Women-Stylish-Graphic-Printing-Casual-Summer-p-116585349.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_116585349%7C0-2,https://img.ltwebstatic.com/v4/p/spmp/2025/06/26/f3/175093023669b335cc1fd6181a1c41e639c578eaba_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,-3%,,,70+ sold
"Women's ""European Summer"" Aesthetic: Amalfi Capri Island Lemon Print T-Shirt. Vintage Italian Vacation Style Top. Fashionable Beach And Holiday Wear. Casual White",S$0.58,https://sg.shein.com/Women-s-European-Summer-Aesthetic-Amalfi-Capri-Island-Lemon-Print-T-Shirt-Vintage-Italian-Vacation-Style-Top-Fashionable-Beach-And-Holiday-Wear-Casual-White-p-402838980.html?mallCode=1&pageListType=4&detailBusinessFrom=0-1_402838980%7C0-2,https://img.ltwebstatic.com/v4/j/spmp/2026/03/27/33/17745892146efed333a390a59d1369b483a065a788_thumbnail_600x.webp,2026-05-29T15:30:20+08:00,,,,,Save S$0.58
