product_id,product_url,final_url,source_page,appear_count,appear_pages,sales_tag,is_real_sales_tag,title,price,sku,product_create_date,product_create_date_digits,product_create_date_parse_status,product_create_date_parse_reason,color,material,composition,fabric_elasticity,fit_type,pattern_type,style,occasion,details,type,length,neckline,sleeve_length,sleeve_type,waist_line,closure_type,placket,pockets,body,hem_shaped,lined_for_added_warmth,features,sheer,temperature,festivals,attribute_count,attribute_keys,attributes_json,raw_description_text,crawl_time,page_status,status_reason,parse_status,html_saved_path,visible_text_saved_path,description_raw_text_saved_path,fetch_mode,fetch_seconds,save_seconds,parse_seconds,product_total_seconds,detail_dwell_seconds,inter_sleep_seconds,attempt_count,captcha_wait_used,captcha_wait_seconds,recovery_used,manual_wait_seconds,stable_success_streak,consecutive_failures,fast_mode_min_cycle_seconds,frequency_guard_enabled
57883154,https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html,https://sg.shein.com/risk/challenge?captcha_type=909&redirection=https%3A%2F%2Fsg.shein.com%2F2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html&risk-id=E4839596580852526208,2,3,"2,7,8",34.1k+ sold,TRUE,"2025 Autumn/Winter Women Wide Leg High Waist Casual Loose Trousers, Versatile Suit Pants Black Summer",S$12.49,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,页面状态为 blocked_or_verify，跳过 Description 解析：明确验证码页面,2026-06-11T10:57:32+08:00,blocked_or_verify,明确验证码页面,skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_description_raw_text.txt,stable,90.13,0.01,0.06,90.37,,0.00,1,False,0.00,False,0.00,0,1,20,True
209903633,https://sg.shein.com/SuriyaCove-Retro-American-Y2K-Style-Minimalist-Women-Sweatpants-p-209903633.html,https://sg.shein.com/SuriyaCove-Retro-American-Y2K-Style-Minimalist-Women-Sweatpants-p-209903633.html,1,3,"1,2",29.1k+ sold,TRUE,SuriyaCove Retro American Y2K Style Minimalist Women Sweatpants,S$14.99,sz25062526684233693,2025-06-25,250625,success,SKU 前 6 位数字按 YYMMDD 成功解析为产品创建日期,Light Grey,Knitted Fabric,100% Polyester,Slight Stretch,Loose,Plain,Casual,"Home, Daily","Pocket, Drawstring",Wide Leg,Long,,,,High Waist,Elastic Waist,,Yes,Unlined,,No,,No,Late Fall (10-17/50-63),,19,"Closure Type,Details,Body,Pattern Type,Style,Occasion,Lined For Added Warmth,Pockets,Color,Type,Waist Line,Length,Fit Type,Temperature,Fabric Elasticity,Material,Composition,Care Instructions,Sheer","{""Closure Type"": ""Elastic Waist"", ""Details"": ""Pocket, Drawstring"", ""Body"": ""Unlined"", ""Pattern Type"": ""Plain"", ""Style"": ""Casual"", ""Occasion"": ""Home, Daily"", ""Lined For Added Warmth"": ""No"", ""Pockets"": ""Yes"", ""Color"": ""Light Grey"", ""Type"": ""Wide Leg"", ""Waist Line"": ""High Waist"", ""Length"": ""Long"", ""Fit Type"": ""Loose"", ""Temperature"": ""Late Fall (10-17/50-63)"", ""Fabric Elasticity"": ""Slight Stretch"", ""Material"": ""Knitted Fabric"", ""Composition"": ""100% Polyester"", ""Care Instructions"": ""Machine wash, do not dry clean,wash with the soft detergent"", ""Sheer"": ""No""}","Closure Type: Elastic Waist
Details: Pocket, Drawstring
Body: Unlined
Pattern Type: Plain
Style: Casual
Occasion: Home, Daily
Lined For Added Warmth: No
Pockets: Yes
Color: Light Grey
Type: Wide Leg
Waist Line: High Waist
Length: Long
Fit Type: Loose
Temperature: Late Fall (10-17/50-63)
Fabric Elasticity: Slight Stretch
Material: Knitted Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Sheer: No",2026-06-11T10:59:03+08:00,success,商品主体信息命中 7 项,success,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\209903633.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\209903633_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\209903633_description_raw_text.txt,fast,23.77,0.01,0.05,23.97,,8.70,1,False,0.00,False,0.00,0,0,20,True
10887023,https://sg.shein.com/SHEIN-LUNE-Shirred-Waist-Wide-Leg-Pants-Teacher-Outfits-For-Women-p-10887023.html,https://sg.shein.com/SHEIN-LUNE-Shirred-Waist-Wide-Leg-Pants-Teacher-Outfits-For-Women-p-10887023.html,3,3,"3,5,9",17k+ sold,TRUE,"SHEIN LUNE Shirred Waist Wide Leg Pants,Teacher Outfits For Women",S$10.49,sw2206209938384828,2022-06-20,220620,success,SKU 前 6 位数字按 YYMMDD 成功解析为产品创建日期,Black,Fabric,100% Polyester,Non-Stretch,Loose,Plain,Casual,Daily,Shirred,Wide Leg,Capris,,,,High Waist,Elastic Waist,,No,Unlined,,No,,No,Spring/Fall (18-25/63-77),Teachers' Day,20,"Closure Type,Details,Body,Pattern Type,Style,Occasion,Lined For Added Warmth,Pockets,Festivals,Color,Type,Waist Line,Length,Fabric Elasticity,Fit Type,Material,Composition,Care Instructions,Temperature,Sheer","{""Closure Type"": ""Elastic Waist"", ""Details"": ""Shirred"", ""Body"": ""Unlined"", ""Pattern Type"": ""Plain"", ""Style"": ""Casual"", ""Occasion"": ""Daily"", ""Lined For Added Warmth"": ""No"", ""Pockets"": ""No"", ""Festivals"": ""Teachers' Day"", ""Color"": ""Black"", ""Type"": ""Wide Leg"", ""Waist Line"": ""High Waist"", ""Length"": ""Capris"", ""Fabric Elasticity"": ""Non-Stretch"", ""Fit Type"": ""Loose"", ""Material"": ""Fabric"", ""Composition"": ""100% Polyester"", ""Care Instructions"": ""Machine wash or professional dry clean"", ""Temperature"": ""Spring/Fall (18-25/63-77)"", ""Sheer"": ""No""}","Closure Type: Elastic Waist
Details: Shirred
Body: Unlined
Pattern Type: Plain
Style: Casual
Occasion: Daily
Lined For Added Warmth: No
Pockets: No
Festivals: Teachers' Day
Color: Black
Type: Wide Leg
Waist Line: High Waist
Length: Capris
Fabric Elasticity: Non-Stretch
Fit Type: Loose
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Temperature: Spring/Fall (18-25/63-77)
Sheer: No",2026-06-11T10:59:35+08:00,success,商品主体信息命中 7 项,success,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\10887023.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\10887023_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\10887023_description_raw_text.txt,fast,12.31,0.01,0.06,12.59,,9.93,1,False,0.00,False,0.00,0,0,20,True
57883154,https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html,https://sg.shein.com/risk/challenge?captcha_type=909&redirection=https%3A%2F%2Fsg.shein.com%2F2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html&risk-id=E4839601006463991808,2,3,"2,7,8",34.1k+ sold,TRUE,"2025 Autumn/Winter Women Wide Leg High Waist Casual Loose Trousers, Versatile Suit Pants Black Summer",S$12.49,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,页面状态为 blocked_or_verify，跳过 Description 解析：明确验证码页面,2026-06-11T11:06:20+08:00,blocked_or_verify,明确验证码页面,skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_description_raw_text.txt,stable,90.05,0.00,0.00,90.07,,0.00,1,False,0.00,False,0.00,0,1,20,True
57883154,https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html,https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html,2,3,"2,7,8",34.1k+ sold,TRUE,"2025 Autumn/Winter Women Wide Leg High Waist Casual Loose Trousers, Versatile Suit Pants Black Summer",S$12.49,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,页面状态为 timeout，跳过 Description 解析：页面请求超时,2026-06-11T11:28:26+08:00,timeout,页面请求超时,skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_description_raw_text.txt,stable,90.14,0.01,0.03,90.25,,5.81,1,False,0.00,False,0.00,0,0,20,True
149061645,https://sg.shein.com/SHEIN-Essnce-3pcs-Set-Women-s-Blue-And-White-Stripe-Nautical-Style-Casual-Summer-Vacation-Waist-Tie-Pants-With-Pockets-Straight-Leg-Black-White-Striped-Clothes-p-149061645.html,https://sg.shein.com/SHEIN-Essnce-3pcs-Set-Women-s-Blue-And-White-Stripe-Nautical-Style-Casual-Summer-Vacation-Waist-Tie-Pants-With-Pockets-Straight-Leg-Black-White-Striped-Clothes-p-149061645.html,8,3,"8,9,10",14.1k+ sold,TRUE,"SHEIN Essnce 3pcs Set Women's Blue And White Stripe Nautical Style Casual Summer Vacation Waist Tie Pants With Pockets,Straight Leg Black & White Striped Clothes",S$30.99,sz25080637211179846,2025-08-06,250806,success,SKU 前 6 位数字按 YYMMDD 成功解析为产品创建日期,Multicolor,Polyester,100% Polyester,Non-Stretch,Loose,Striped,Casual,Daily,"Drawstring, Knot",Wide Leg,,,,,High Waist,Elastic Waist,,No,,,No,,No,,"Teachers' Day, Independence Day",21,"Closure Type,Details,Pants Body,Pattern Type,Style,Occasion,Lined For Added Warmth,Pockets,Festivals,Color,Type,Waist Line,Pants Length,Fabric Elasticity,Fit Type,Pants Material,Pants Composition,Care Instructions,Sheer,Material,Composition","{""Closure Type"": ""Elastic Waist"", ""Details"": ""Drawstring, Knot"", ""Pants Body"": ""Unlined"", ""Pattern Type"": ""Striped"", ""Style"": ""Casual"", ""Occasion"": ""Daily"", ""Lined For Added Warmth"": ""No"", ""Pockets"": ""No"", ""Festivals"": ""Teachers' Day, Independence Day"", ""Color"": ""Multicolor"", ""Type"": ""Wide Leg"", ""Waist Line"": ""High Waist"", ""Pants Length"": ""Long"", ""Fabric Elasticity"": ""Non-Stretch"", ""Fit Type"": ""Loose"", ""Pants Material"": ""Polyester"", ""Pants Composition"": ""100% Polyester"", ""Care Instructions"": ""Machine wash or professional dry clean"", ""Sheer"": ""No"", ""Material"": ""Polyester"", ""Composition"": ""100% Polyester""}","Closure Type: Elastic Waist
Details: Drawstring, Knot
Pants Body: Unlined
Pattern Type: Striped
Style: Casual
Occasion: Daily
Lined For Added Warmth: No
Pockets: No
Festivals: Teachers' Day, Independence Day
Color: Multicolor
Type: Wide Leg
Waist Line: High Waist
Pants Length: Long
Fabric Elasticity: Non-Stretch
Fit Type: Loose
Pants Material: Polyester
Pants Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
Material: Polyester
Composition: 100% Polyester",2026-06-11T11:30:02+08:00,success,商品主体信息命中 7 项,success,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\149061645.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\149061645_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\149061645_description_raw_text.txt,fast,20.68,0.01,0.03,20.77,,6.52,1,False,0.00,False,0.00,0,0,20,True
26680307,https://sg.shein.com/Olithes-3pcs-set-Ladies-Solid-Color-Strapless-Top-p-26680307.html,https://sg.shein.com/Olithes-3pcs-set-Ladies-Solid-Color-Strapless-Top-p-26680307.html,2,3,"2,4,5",12.6k+ sold,TRUE,Olithes 3pcs/set Ladies' Solid Color Strapless Top,S$8.49,sz2311035011931502,2023-11-03,231103,success,SKU 前 6 位数字按 YYMMDD 成功解析为产品创建日期,Multicolor,Knitted Fabric,"95% Polyester,5% Elastane",Medium Stretch,Slim Fit,Plain,Casual,,Rib-Knit,,,Strapless,,Regular Sleeve,,,,,,Regular,No,,Semi-Sheer,,Oktoberfest in Munich,19,"Details,Tank Tops & Camis Body,Neckline,Pattern Type,Sleeve Type,Style,Hem Shaped,Lined For Added Warmth,Festivals,Color,Tank Tops & Camis Length,Fit Type,Tank Tops & Camis Material,Sheer,Tank Tops & Camis Composition,Fabric Elasticity,Care Instructions,Material,Composition","{""Details"": ""Rib-Knit"", ""Tank Tops & Camis Body"": ""Unlined"", ""Neckline"": ""Strapless"", ""Pattern Type"": ""Plain"", ""Sleeve Type"": ""Regular Sleeve"", ""Style"": ""Casual"", ""Hem Shaped"": ""Regular"", ""Lined For Added Warmth"": ""No"", ""Festivals"": ""Oktoberfest in Munich"", ""Color"": ""Multicolor"", ""Tank Tops & Camis Length"": ""Crop"", ""Fit Type"": ""Slim Fit"", ""Tank Tops & Camis Material"": ""Knitted Fabric"", ""Sheer"": ""Semi-Sheer"", ""Tank Tops & Camis Composition"": ""95% Polyester,5% Elastane"", ""Fabric Elasticity"": ""Medium Stretch"", ""Care Instructions"": ""Machine wash or professional dry clean"", ""Material"": ""Knitted Fabric"", ""Composition"": ""95% Polyester,5% Elastane""}","Details: Rib-Knit
Tank Tops & Camis Body: Unlined
Neckline: Strapless
Pattern Type: Plain
Sleeve Type: Regular Sleeve
Style: Casual
Hem Shaped: Regular
Lined For Added Warmth: No
Festivals: Oktoberfest in Munich
Color: Multicolor
Tank Tops & Camis Length: Crop
Fit Type: Slim Fit
Tank Tops & Camis Material: Knitted Fabric
Sheer: Semi-Sheer
Tank Tops & Camis Composition: 95% Polyester,5% Elastane
Fabric Elasticity: Medium Stretch
Care Instructions: Machine wash or professional dry clean
Material: Knitted Fabric
Composition: 95% Polyester,5% Elastane",2026-06-11T11:30:29+08:00,success,商品主体信息命中 7 项,success,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\26680307.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\26680307_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\26680307_description_raw_text.txt,fast,12.41,0.01,0.02,12.49,,12.18,1,False,0.00,False,0.00,0,0,20,True
57883154,https://sg.shein.com/2025-Autumn-Winter-Women-Wide-Leg-High-Waist-Casual-Loose-Trousers-Versatile-Suit-Pants-Black-Summer-p-57883154.html,https://sg.shein.com/,2,3,"2,7,8",34.1k+ sold,TRUE,"2025 Autumn/Winter Women Wide Leg High Waist Casual Loose Trousers, Versatile Suit Pants Black Summer",S$12.49,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"页面状态为 fetch_failed，跳过 Description 解析：TargetClosedError: Page.goto: Target page, context or browser has been closed",2026-06-11T11:45:31+08:00,fetch_failed,"TargetClosedError: Page.goto: Target page, context or browser has been closed",skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\57883154_description_raw_text.txt,stable,0.00,0.00,0.00,0.01,,4.80,1,False,0.00,False,0.00,0,1,20,True
38235874,https://sg.shein.com/EMERY-ROSE-s-Women-s-Summer-Casual-Crew-Neck-Short-Sleeve-T-Shirt-Tops-Solid-Color-Black-And-White-Basics-Everyday-For-Work-Office-Party-p-38235874.html,https://sg.shein.com/,3,3,"3,5,10",12.6k+ sold,TRUE,"EMERY ROSE 's Women's Summer Casual Crew Neck Short Sleeve T-Shirt Tops,Solid Color Black And White Basics Everyday For Work Office, Party",S$11.99,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"页面状态为 fetch_failed，跳过 Description 解析：TargetClosedError: Page.goto: Target page, context or browser has been closed",2026-06-11T11:45:36+08:00,fetch_failed,"TargetClosedError: Page.goto: Target page, context or browser has been closed",skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\38235874.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\38235874_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\38235874_description_raw_text.txt,fast,0.00,0.00,0.00,0.01,,4.56,1,False,0.00,False,0.00,0,2,20,True
445209541,https://sg.shein.com/Women-s-Casual-Short-Sleeve-Round-Neck-T-Shirt-Printed-Pattern-Soft-Comfortable-Fabric-Machine-Washable-Summer-Tops-p-445209541.html,https://sg.shein.com/,2,3,"2,7,8",8.7k+ sold,TRUE,"Women's Casual Short Sleeve Round Neck T-Shirt - Printed Pattern, Soft & Comfortable Fabric, Machine Washable, Summer Tops",S$5.99,,,,failed,详情页 SKU 为空,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"页面状态为 fetch_failed，跳过 Description 解析：TargetClosedError: Page.goto: Target page, context or browser has been closed",2026-06-11T11:45:41+08:00,fetch_failed,"TargetClosedError: Page.goto: Target page, context or browser has been closed",skipped_due_to_page_status,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\445209541.html,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\445209541_visible_text.txt,D:\V2\data\debug\v2_9d1c_detail_checkpoint_clean_urls\445209541_description_raw_text.txt,fast,0.00,0.00,0.00,0.01,,3.02,1,False,0.00,False,0.00,0,3,20,True
